route_id,field_id,specialist_id,keywords,examples,priority,notes
orchestrator-full-flow,orchestrator,orchestrator,"end-to-end, full flow, cross-layer, multi-step, implement feature, across frontend backend database","Implement this feature end-to-end; fix the whole flow; coordinate specialists",5,Use orchestrator when the task spans multiple domains or requests the full delivery workflow
frontend-ui,frontend,frontend-developer,"ui, component, page, layout, form, accessibility, a11y, styling, render, client state","Fix button spacing; build a settings page; improve keyboard navigation",5,Primary route for user-facing interface work
backend-api,backend,backend-developer,"api, route, auth, server, endpoint, service, handler, permission, ownership","Add upload route; fix 401 handling; update server-side validation",5,Primary route for server behavior and integrations
typescript-contracts,typescript,typescript-specialist,"type error, generic, zod, inference, contract, dto, schema typing, shared type","Fix Zod mismatch; align DTO types; resolve TypeScript inference issue",5,Use when compile-time and runtime contracts drift
database-schema,database,database-specialist,"schema, migration, rls, policy, sql, index, query plan, table, data integrity","Add migration; fix RLS policy; optimize query and indexes",5,Use for database structure and policy ownership
devops-release,devops,devops-engineer,"deploy, pipeline, ci, cd, rollback, monitoring, infrastructure, release, incident","Prepare deployment pipeline; add rollback plan; improve monitoring",5,Use for release automation and infrastructure safety
documentation-docs,documentation,documentation-writer,"docs, readme, runbook, guide, changelog, tutorial, api docs","Update README; write runbook; document API behavior",4,Use when the main deliverable is documentation
qa-verification,qa,qa-tester,"test, verify, pass/fail, regression, edge case, coverage, smoke test","Verify the fix; build a regression checklist; test acceptance criteria",5,Use after implementation or for explicit verification requests
code-review-risk,code-review,code-reviewer,"review, risk, maintainability, correctness, security review, findings","Review this diff; look for risks; audit for maintainability",5,Use for independent code review and risk analysis
planner-roadmap,planner,planner,"plan, roadmap, phase, sequence, milestone, rollout, decomposition, dependencies","Create a phased plan; break this down; define rollout steps",4,Use when the user wants a plan instead of implementation
product-scope,product-manager,product-manager,"scope, acceptance criteria, priority, requirements, non-goal, mvp, user story","Clarify requirements; define acceptance criteria; lock scope",4,Use when the work needs tighter product framing
research-evaluation,research,research-analyst,"compare, evaluate, research, best practice, tradeoff, benchmark, investigate options","Compare tools; research best practices; evaluate alternatives",4,Use for open-ended analysis and recommendation work
debugger-triage,debugger,debugger,"bug, reproduce, flaky, regression, root cause, logs, trace, investigate","Find root cause; debug flaky behavior; investigate production issue",4,Use when the root cause is unclear or the issue spans layers
google-cli-gws,google-cli,google-cli-specialist,"gws, google workspace, google cli, discovery, commands, validate, cli auth","Add Google Workspace command; fix discovery bug; validate CLI auth flow",5,Use for Google Workspace CLI-specific behavior
